Ativo,"Minha Categoria",Recebido,"Data pgto.","Data COM",YOC,DY,"Valor por cota"
XPLG11,"Renda Variavel","R$ 20,72",17/04/2023,31/03/2023,"0.73 %","0.78 %","R$ 0,74"
RBFF11,"Renda Variavel","R$ 39,69",14/04/2023,31/03/2023,"0.91 %","1.04 %","R$ 0,49"
RBVA11,"Renda Variavel","R$ 47,50",14/04/2023,31/03/2023,"1.00 %","1.04 %","R$ 0,95"
RBFF11,"Renda Variavel","R$ 32,83",15/03/2023,28/02/2023,"0.89 %","0.96 %","R$ 0,49"
RBVA11,"Renda Variavel","R$ 44,65",15/03/2023,28/02/2023,"1.00 %","1.03 %","R$ 0,95"
BCFF11,"Renda Variavel","R$ 88,48",14/03/2023,07/03/2023,"0.80 %","0.89 %","R$ 0,56"
KNRI11,"Renda Variavel","R$ 49,40",14/03/2023,28/02/2023,"0.67 %","0.70 %","R$ 0,95"
MXRF11,"Renda Variavel","R$ 67,56",14/03/2023,28/02/2023,"1.18 %","1.17 %","R$ 0,12"
RZAG11,"Renda Variavel","R$ 20,74",14/03/2023,28/02/2023,"1.23 %","1.25 %","R$ 0,12"
VISC11,"Renda Variavel","R$ 30,40",14/03/2023,28/02/2023,"0.77 %","0.78 %","R$ 0,80"
XPLG11,"Renda Variavel","R$ 27,38",14/03/2023,28/02/2023,"0.72 %","0.79 %","R$ 0,74"
RBFF11,"Renda Variavel","R$ 27,93",15/02/2023,31/01/2023,"0.87 %","0.97 %","R$ 0,49"
RBVA11,"Renda Variavel","R$ 32,30",15/02/2023,31/01/2023,"0.99 %","1.01 %","R$ 0,95"
BCFF11,"Renda Variavel","R$ 78,96",14/02/2023,07/02/2023,"0.79 %","0.89 %","R$ 0,56"
KNRI11,"Renda Variavel","R$ 37,31",14/02/2023,31/01/2023,"0.64 %","0.65 %","R$ 0,91"
MXRF11,"Renda Variavel","R$ 56,43",14/02/2023,31/01/2023,"1.08 %","1.08 %","R$ 0,11"
RZAG11,"Renda Variavel","R$ 12,00",14/02/2023,31/01/2023,"1.19 %","1.25 %","R$ 0,12"
VISC11,"Renda Variavel","R$ 27,06",14/02/2023,31/01/2023,"0.79 %","0.77 %","R$ 0,82"
XPLG11,"Renda Variavel","R$ 23,68",14/02/2023,31/01/2023,"0.71 %","0.81 %","R$ 0,74"
